 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.68.d: "The European Regional Development Fund (ERDF) is a financial instrument of the European Commission whose purpose is to assist the economic development of the depressed regions of the European Union. To understand the Spanish corporatist neoliberalism, implies addressing the realities enacted and constructed by social actors in practice (businessmen, political parties, trade unions,...), halfway between traditional clientelist dynamics and neoliberal free market logics. This hybrid phenomenon is publicly criticized but largely unknown. In it, communities of complicity distribute public resources without public accountability. In turn, citizens ignore, tolerate or participate –either actively or passively– in the process."
 spain.68.o1: "Clientelist dynamics"
 spain.68.o2: "Development"
 spain.69.t: "Brussels blocks the ERDF"
 spain.69.d: "The European Commission keeps € 1,122 million blocked in European subsidies to Spain after detecting serious deficiencies and irregularities in the control carried out by the agencies that manage the application and justification of these projects. This amount corresponds to ERDF (European Regional Development Fund) funds, with which Europe finances infrastructures and development initiatives in the field of transport, energy, environment or research. There are currently 15 ERDF fund management bodies with amounts retained by the European Commission due to non-compliance. There are ministries (Economy, Industry, Agriculture ...), public business entities such as the ICEX, and regional governments (Madrid, Castile and Leon, Melilla). The Ministry of Finance, which is responsible for evaluating and managing European subsidies, says that this type of irregularities are "usual" and that Spain is the country with the highest funding, more funding and more bodies Has been managing them. A spokeswoman pointed out that for the next ERDF period, "the simplification of the management system" has been contemplated "from 150 intermediary organizations to only 12"."
 spain.69.o1: "Irregularities are "usual"!..."
 spain.70.t: "Brussels negotiates the ERDF"
 spain.70.d: "The most recently adhered countries (with the exception of Portugal and Greece) are the countries which, for the most recent programming period, will receive priority in the reception of the Cohesion Funds and Structural Funds (ERDF and ESF). Eastern Europe."
 spain.70.o1: "Interesting"
 spain.71.t: "Eurozone crisis"
 spain.71.d: "In the 2008 crisis, European creditors raise the need for indebted countries to repay debt (this is reinforced because large European banks are the main creditors), forcing them to seek financial support from the EU. To grant it, the EU will require them to implement harsh austerity programs, the destruction of the welfare state to try and (and achieve) detachment from the existing social Europe, and weakening democracy, thereby reducing the standard of living of classes Popular. What does not stimulate but slows production, and stops growth. That is, the pressure from the central countries to pay off debts causes the destruction of productive facilities and reduces production, and therefore generates the inability to pay of indebted countries."
 spain.71.o1: "Crisis? What Crisis?"
 spain.72.t: "Great Recession in Spain"
 spain.72.d: "The main cause of Spain's crisis was the housing bubble and the accompanying unsustainable high GDP growth rate. The ballooning tax revenues from the booming property investment and construction sectors kept the Spanish government's revenue in surplus, despite strong increases in expenditure, until 2007. The Spanish government supported the critical development by relaxing supervision of the financial sector and thereby allowing the banks to violate International Accounting Standards Board standards. The banks in Spain were able to hide losses and earnings volatility, mislead regulators, analysts, and investors, and thereby finance the Spanish real estate bubble. The results of the crisis were devastating for Spain, including a strong economic downturn, a severe increase in unemployment, and bankruptcies of major companies."
 spain.72.o1: "«En España no hay crisis económica»"
 spain.72.o2: "Neoliberal Rescue"
 spain.73.t: "Neoliberal Rescue"
 spain.73.d: "Those who have power and those who cooperate with them are clear about their model of exit from the crisis, consisting of a permanent deterioration of the working conditions, salaries, social benefits and life forms of the majority of the western countries."
 spain.73.o1: "Spain is doing well!"
 spain.74.t: "Rescue of the Mighty"
 spain.74.d: "In this crisis it seems that the owners of capital have understood that for them the way out of it is by limiting the living standards of the populations for the benefit of the capitalist classes and the political, technical, and political elites. Very high officials at your service."
 spain.74.o1: "Spain is doing well!"
